"id","class","color","vineyard","fixed.acidity","acid.sulfur","volatile.acidity","sulfur.taste","citric.acid","residual.sugar","chlorides","chlor.class","free.sulfur.dioxide","condition","total.sulfur.dioxide","density","pH","acid.taste","sulphates","acidity.variance","alcohol"
2295,"good","white","E",7.6,2.31364884555056,0.22,3.51977300685314,0.28,12,0.056,"f2",68,"I1",143,0.9983,2.99,1.81,0.3,0.24,9.2
2296,"medium","white","B",7,2.90294583362729,0.16,3.99929304001403,0.32,8.3,0.045,"i1",38,"S1",126,0.9958,3.21,1.77,0.34,0.24,9.2
2297,"good","white","C",6.7,3.08871538872644,0.105,1.73185617829767,0.32,12.4,0.051,"g3",34,"I2",106,0.998,3.54,2.15,0.45,0.24,9.2
2298,"good","white","D",8.3,2.67376821706557,0.28,1.82865407468885,0.27,17.5,0.045,"f2",48,"I1",253,1.00014,3.02,3.21,0.56,0.24,9.1
2299,"medium","white","C",7.9,2.30434451952121,0.36,3.30307727431366,0.53,12.9,0.049,"e2",63,"I1",139,0.99792,2.94,1.95,0.45,0.24,9.1
2300,"good","white","E",7.1,3.10228890392623,0.13,2.06985852381156,0.4,1.2,0.047,"d1",54,"S1",134,0.9932,3.3,2.35,0.97,0.24,9.8
2301,"good","white","C",6.8,2.49617670498313,0.18,3.21112275609415,0.28,8.7,0.047,"g2",52,"P2",242,0.9952,3.22,1.46,0.53,0.24,10.5
2302,"good","white","D",5,2.43924836075206,0.17,2.74430990522057,0.56,1.5,0.026,"i2",24,"S3",115,0.9906,3.48,2.24,0.39,0.24,10.8
2303,"good","white","B",7,2.29923018915983,0.28,3.49874074229558,0.32,1.7,0.038,"c2",27,"S1",128,0.99375,3.2,1.52,0.62,0.24,10.2
2304,"medium","white","C",6.8,3.12946475222666,0.21,2.4450000651976,0.27,18.15,0.042,"f1",41,"I1",146,1.0001,3.3,2.25,0.36,0.24,8.7
2305,"good","red","B",7.5,3.30102919662746,0.55,2.6417744215237,0.24,2,0.078,"i2",10,"S1",28,0.9983,3.45,1.52,0.78,0.24,9.5
2306,"good","white","D",6.5,3.21895242437356,0.24,1.48358055329328,0.19,1.2,0.041,"c3",30,"I1",111,0.99254,2.99,2.35,0.46,0.24,9.4
2307,"good","white","E",6.6,3.42760598301412,0.23,2.34761648172211,0.29,14.45,0.057,"d2",29,"I1",144,0.99756,3.33,2.19,0.54,0.24,10.2
2308,"medium","white","E",6.5,3.03589691567631,0.3,2.30036850650023,0.29,2.25,0.037,"e2",8,"S2",210,0.9937,3.19,1.7,0.62,0.24,9.9
2309,"good","white","E",5.8,2.79568931044864,0.385,2.74371087657501,0.25,3.7,0.031,"i1",38,"S1",122,0.99128,3.2,2.96,0.63,0,11.2
2310,"poor","white","D",6.4,2.53449807036356,0.35,1.57440392382851,0.35,5.6,0.034,"b3",9,"I2",148,0.99441,3.17,1.49,0.5,0.24,9.8
2311,"good","white","D",7.1,3.5289170633908,0.36,2.8040930878556,0.56,1.3,0.046,"b2",25,"S3",102,0.9923,3.24,1.78,0.33,0.24,10.5
2312,"medium","white","C",6.1,3.75690768591151,0.36,3.39946577781678,0.58,15,0.044,"e2",42,"I1",115,0.9978,3.15,2.13,0.51,0.24,9
2313,"good","white","E",6.3,3.88022155521612,0.21,2.72156193750192,0.28,1.5,0.051,"i1",46,"I1",142,0.9928,3.23,1.81,0.42,0.24,10.1
2314,"good","white","C",5.8,3.03138489438165,0.18,1.91279919367353,0.37,1.1,0.036,"b2",31,"I2",96,0.98942,3.16,2.43,0.48,0.24,12
2315,"good","white","D",6.9,2.35617374177698,0.27,2.94398743962085,0.41,1.7,0.047,"c2",6,"I1",134,0.9929,3.15,1.18,0.69,0.24,11.4
2316,"medium","red","A",10.2,2.77555090610302,0.67,5.58937573649573,0.39,1.9,0.054,"c3",6,"S2",17,0.9976,3.17,1.88,0.47,0.24,10
2317,"good","white","A",8.9,2.84551232680973,0.3,1.92686091349668,0.35,4.6,0.032,"c3",32,"S1",148,0.99458,3.15,1.59,0.45,0.24,11.5
2318,"poor","white","D",8.5,2.7407611702226,0.18,1.82026146674486,0.3,1.1,0.028,"e2",34,"I2",95,0.99272,2.83,1.62,0.36,0.24,10
2319,"medium","white","A",6.9,2.96453606900734,0.38,2.20376775194743,0.28,8.3,0.062,"d2",22,"S3",166,0.99506,3.16,1.32,0.72,0.24,10.6
2320,"medium","red","C",8.1,3.34315593872071,0.67,2.50449728795297,0.55,1.8,0.117,"e3",32,"S1",141,0.9968,3.17,2.16,0.62,0.24,9.4
2321,"medium","white","E",6.5,2.55834457632973,0.25,3.56023154084724,0.5,7.6,0.047,"f3",54,"S1",184,0.99572,3.17,1.97,0.45,0.24,9.2
2322,"good","white","D",6.4,3.82681071160697,0.27,1.80148603336184,0.3,1.6,0.04,"f1",19,"S3",86,0.99089,3.32,1.66,0.65,0.24,11.5
2323,"good","white","B",8.3,2.83164461067658,0.2,1.49275090076272,0.35,0.9,0.05,"d2",12,"I1",74,0.992,3.13,2.43,0.38,0.24,10.5
2324,"good","red","E",12.9,2.40048665197953,0.5,2.8171567870249,0.55,2.8,0.072,"g1",7,"S2",24,1.00012,3.09,1.66,0.68,0.24,10.9
2325,"good","white","A",7,3.20115089164581,0.22,3.0642467511765,0.39,2.1,0.055,"g1",39,"I2",198,0.9951,3.52,1.6,0.54,0.24,10.2
2326,"medium","white","E",7,2.81336236741261,0.34,3.65407532753353,0.39,6.9,0.066,"b3",43,"I1",162,0.99561,3.11,1.7,0.53,0.24,9.5
2327,"good","white","D",7,2.91887461784622,0.2,2.03922070755303,0.38,8.1,0.05,"h1",42,"I2",173,0.99585,3.3,2.04,0.54,0.24,9.8
2328,"medium","white","D",6.6,3.11328036847927,0.42,4.57960157659902,0.13,12.8,0.044,"e3",26,"I1",158,0.99772,3.24,1.8,0.47,0.24,9
2329,"good","white","E",8.7,3.76779926227963,0.3,1.44737861146923,0.34,4.8,0.018,"g2",23,"S1",127,0.99474,3.12,1.61,0.49,0.24,11.2
2330,"medium","white","D",6.9,2.82687443427666,0.4,2.73310650584267,0.17,12.9,0.033,"c2",59,"S1",186,0.99754,3.08,1.55,0.49,0.24,9.4
2331,"good","white","B",7.2,2.97435314444247,0.25,6.52869935682754,0.28,14.4,0.055,"e2",55,"I1",205,0.9986,3.12,1.75,0.38,0.24,9
2332,"good","red","E",6.5,3.37979224118669,0.39,3.1220326910345,0.23,8.3,0.051,"c1",28,"I1",91,0.9952,3.44,2.61,0.55,0.24,12.1
2333,"medium","white","B",6.9,2.54821028708304,0.32,3.70373405034056,0.17,7.6,0.042,"b1",69,"I1",219,0.9959,3.13,1.88,0.4,0.24,8.9
2334,"good","white","E",5.7,3.45643887321323,0.33,1.88232674784521,0.32,1.4,0.043,"b2",28,"I1",93,0.9897,3.31,1.42,0.5,0.24,12.3
2335,"good","red","D",10.5,3.68245126202023,0.24,2.39766042297366,0.47,2.1,0.066,"e3",6,"I2",24,0.9978,3.15,2.22,0.9,0.24,11
2336,"good","white","E",6.5,4.17685747684917,0.18,2.22405024986812,0.31,1.7,0.044,"b3",30,"S3",127,0.9928,3.49,2.1,0.5,0.24,10.2
2337,"good","red","B",9,3.2932153006694,0.8,3.48765969347772,0.12,2.4,0.083,"c1",8,"I2",28,0.99836,3.33,2.23,0.65,0.24,10.4
2338,"medium","red","D",6.7,3.27876867808338,0.48,3.24570983668476,0.02,2.2,0.08,"b3",36,"I1",111,0.99524,3.1,1.33,0.53,0.24,9.7
2339,"good","white","B",6.6,3.03640751090033,0.31,1.80992696175141,0.28,1.4,0.035,"f1",28,"I1",107,0.98836,3,1.8,0.4,0.24,13.2
2340,"good","white","D",6.7,3.29209214750035,0.34,4.25099857950352,0.3,8.5,0.059,"b3",24,"I1",152,0.99615,3.46,1.26,0.64,0.24,11
2341,"good","white","D",7.5,2.09182602716162,0.18,2.15512267107534,0.45,4.6,0.041,"h1",67,"S3",158,0.9927,3.01,2.18,0.38,0.24,10.6
2342,"good","white","A",6,3.31481700819484,0.36,3.10770157826243,0.39,3.2,0.027,"c1",20,"I1",125,0.991,3.38,1.76,0.39,0.24,11.3
2343,"medium","white","D",6.6,2.6584432370016,0.34,3.74773623069438,0.2,1,0.053,"i1",26,"I1",112,0.99336,3.32,1.96,0.55,0.24,9.1
2344,"excellent","white","B",7,3.17676082078111,0.22,2.58506017427425,0.26,9.2,0.027,"g1",37,"S1",122,0.99228,3.06,1.5,0.34,0.24,12.5
2345,"medium","white","D",7.3,2.65571199549155,0.815,2.46945496276016,0.09,11.4,0.044,"d2",45,"I2",204,0.99713,3.15,2.86,0.46,0.24,9
2346,"good","red","D",8.7,3.38327720978249,0.33,3.45208605854973,0.38,3.3,0.063,"g2",10,"I1",19,0.99468,3.3,1.9,0.73,0.24,12
2347,"good","white","D",7.5,3.53730946431831,0.38,2.87014382471761,0.56,9.7,0.055,"e2",15,"I1",170,0.99605,3.13,1.6,0.65,0.24,9.9
2348,"medium","white","D",7.2,3.86098400099928,0.31,2.11630174751799,0.35,7.2,0.046,"d1",45,"I1",178,0.9955,3.14,3.34,0.53,0.24,9.7
2349,"good","white","B",7.4,2.76102639831745,0.19,3.30131150046362,0.49,6.7,0.037,"d1",15,"I1",110,0.9938,3.2,1.96,0.38,0.24,11
2350,"medium","white","B",6.3,3.30459132413128,0.3,1.94847315220647,0.2,3.7,0.039,"c3",34,"I2",132,0.99158,3,1.98,0.38,0.24,10.7
2351,"good","white","D",7.4,2.66582263124332,0.3,2.85484127467225,0.49,8.2,0.055,"d1",49,"I1",188,0.9974,3.52,3.09,0.58,0.24,9.7
2352,"good","white","D",5.8,3.00533841341687,0.29,1.99171200586625,0.15,1.1,0.029,"d2",12,"I1",83,0.9898,3.3,2.25,0.4,0.24,11.4
2353,"good","white","B",7.7,2.94808989467894,0.27,2.57489467107659,0.34,1.8,0.028,"g2",26,"I2",168,0.9911,2.99,2.11,0.48,0.24,12.1
2354,"good","white","E",8.1,2.09281674889709,0.12,1.81533663668126,0.38,0.9,0.034,"c2",36,"S1",86,0.99026,2.8,1.78,0.55,0.24,12
2355,"good","white","E",7.8,2.97698617180993,0.32,1.71996764698791,0.33,10.4,0.031,"i2",47,"I1",194,0.99692,3.07,1.54,0.58,0.24,9.6
2356,"excellent","white","E",6.7,2.79577928908643,0.24,1.60098842140309,0.3,3.85,0.042,"i3",105,"I2",179,0.99189,3.04,1.93,0.59,0.24,11.3
2357,"good","red","D",9.9,3.25830296506118,0.32,3.62534373984668,0.56,2,0.073,"g3",3,"I1",8,0.99534,3.15,1.64,0.73,0.24,11.4
2358,"good","white","C",6,2.65489382266507,0.31,3.22154163647355,0.27,2.3,0.042,"g1",19,"P1",120,0.98952,3.32,2.29,0.41,0.24,12.7
2359,"medium","white","E",8.7,3.30931317582798,0.49,3.08907281846454,0.57,17.8,0.052,"h3",34,"I1",243,1.0007,2.98,2.71,0.82,0.24,9
2360,"medium","white","D",6.7,3.52657264706195,0.3,2.79820709385787,0.74,5,0.038,"i1",35,"I1",157,0.9945,3.21,1.83,0.46,0.24,9.9
2361,"good","white","C",6.9,3.1781517669121,0.16,3.60527487715296,0.37,1.8,0.034,"i2",36,"E",95,0.98952,2.93,1.97,0.59,0.24,12
2362,"good","white","B",7.5,3.10490544932119,0.21,3.44890616565542,0.29,1.5,0.046,"d1",35,"I1",107,0.99123,3.15,1.98,0.45,0.24,11.3
2363,"good","white","B",8.1,3.30908394902867,0.31,2.50780518275531,0.36,8.2,0.028,"d2",29,"I1",142,0.9925,3.01,2.24,0.34,0.24,13
2364,"good","white","C",7.7,3.23850993857742,0.43,2.91000343728178,0.28,4.5,0.046,"h3",33,"I1",102,0.9918,3.16,1.93,0.56,0.24,12.2
2365,"good","white","E",6,2.79289559495992,0.25,3.75423594360439,0.4,5.7,0.052,"i3",56,"P2",152,0.99398,3.16,1.6,0.88,0.24,10.5
2366,"good","white","C",6.6,2.36977374311143,0.24,3.5549655985404,0.3,11.3,0.026,"d2",11,"S1",77,0.99381,3.13,1.54,0.55,0.24,12.8
2367,"good","white","D",6.8,2.91804397485455,0.25,4.22144350912117,0.34,4.7,0.031,"f2",34,"S2",134,0.9927,3.21,1.76,0.38,0.24,10.6
2368,"good","white","E",6.6,3.28443729180997,0.25,2.57466908001881,0.3,14.4,0.052,"d3",40,"I1",183,0.998,3.02,3.06,0.5,0.24,9.1
2369,"excellent","white","D",7.3,3.2756106320234,0.25,3.26975747952394,0.36,2.1,0.034,"b3",30,"I2",177,0.99085,3.25,2.1,0.4,0.24,11.9
2370,"medium","red","D",8.4,2.65396665819104,0.745,2.64931372104648,0.11,1.9,0.09,"b3",16,"I1",63,0.9965,3.19,1.45,0.82,0.24,9.6
2371,"medium","red","E",10,2.62287785226571,0.73,3.58393968244768,0.43,2.3,0.059,"h2",15,"I1",31,0.9966,3.15,1.92,0.57,0.24,11
2372,"good","white","B",6.1,2.63355534414181,0.37,2.80399562883266,0.36,4.7,0.035,"f1",36,"S1",116,0.991,3.31,1.63,0.62,0.24,12.6
2373,"good","white","E",6.2,2.23547401229161,0.27,2.14397771704429,0.43,7.8,0.056,"i2",48,"I2",244,0.9956,3.1,2.08,0.51,0.24,9
2374,"medium","red","D",6.5,3.27556992093379,0.885,3.58457702932344,0,2.3,0.166,"f1",6,"I2",12,0.99551,3.56,2.72,0.51,0.24,10.8
2375,"good","white","D",6.1,2.73958067902459,0.27,5.0868860762799,0.32,1.1,0.034,"e2",24,"I1",110,0.9898,3.36,1.6,0.4,0.24,12.5
2376,"medium","red","B",7.2,2.88163621785286,0.695,3.63437202118596,0.13,2,0.076,"g2",12,"I1",20,0.99546,3.29,2.13,0.54,0.24,10.1
2377,"good","red","E",9.1,3.76901391125586,0.25,4.47353930833162,0.34,2,0.071,"f1",45,"I2",67,0.99769,3.44,2.48,0.86,0.24,10.2
2378,"medium","white","E",6.7,3.61926221511061,0.31,2.65990161248106,0.08,1.3,0.038,"f1",58,"S2",147,0.9922,3.18,2.81,0.46,0.24,10
2379,"medium","white","C",6.9,3.57933110329998,0.27,2.20381497500509,0.49,23.5,0.057,"d1",59,"S3",235,1.0024,2.98,1.59,0.47,0.24,8.6
2380,"excellent","white","D",6.9,2.35727332627497,0.15,2.42107617776864,0.28,4.4,0.029,"b1",14,"S2",107,0.99347,3.24,2.25,0.46,0.24,10.4
2381,"medium","white","D",7.4,2.4963898035041,0.32,2.38974969565975,0.22,11.7,0.035,"c1",44,"I1",150,0.99578,3.1,2.09,0.45,0.24,10.4
2382,"good","white","B",7.3,2.82378633536179,0.19,2.24791526076766,0.68,1.5,0.05,"f1",31,"I1",156,0.9946,3.32,2.3,0.64,0.24,9.4
2383,"good","red","D",10.2,3.53082433295078,0.44,3.30434138553797,0.42,2,0.071,"i3",7,"I1",20,0.99566,3.14,2.23,0.79,0.24,11.1
2384,"good","white","D",6.8,2.59657498507663,0.25,3.22658950247442,0.37,3.1,0.026,"g1",29,"S2",93,0.99035,3.14,2.33,0.45,0.24,12.2
2385,"good","white","C",6.6,2.74571512333335,0.39,2.93453470959713,0.22,4,0.038,"b3",17,"I1",98,0.99018,3.25,2.21,0.53,0.24,13
2386,"poor","white","A",7.4,2.7640873630255,0.28,3.49324825790279,0.4,11.9,0.032,"g2",13,"I1",92,0.99629,3.01,2.26,0.46,0.24,10.8
2387,"medium","white","C",6.1,2.61625087664403,0.22,3.02379387296874,0.49,1.5,0.051,"d1",18,"S2",87,0.9928,3.3,2.78,0.46,0.24,9.6
2388,"medium","white","B",6.1,2.53933201066697,0.27,2.28289578895134,0.43,7.5,0.049,"f3",65,"I1",243,0.9957,3.12,2.17,0.47,0.24,9
2389,"medium","white","C",6.7,2.91062836932904,0.34,2.76150431802448,0.3,15.6,0.054,"e2",51,"S2",196,0.9982,3.19,2.75,0.49,0.24,9.3
2390,"good","red","C",8,2.51395581359626,0.59,1.5880830911518,0.16,1.8,0.065,"i3",3,"I1",16,0.9962,3.42,2.03,0.92,0.24,10.5
2391,"good","white","C",6.3,3.15143442325379,0.32,4.28250566839315,0.32,1.5,0.037,"d3",12,"I1",76,0.98993,3.3,2.16,0.46,0.24,12.3
2392,"good","red","B",6.5,2.51083882242663,0.51,2.56415210409515,0.15,3,0.064,"h2",12,"I1",27,0.9929,3.33,2.38,0.59,0.24,12.8
2393,"good","white","D",6.4,3.63950731598988,0.26,2.53306417057452,0.49,6.4,0.037,"f3",37,"I1",161,0.9954,3.38,2.22,0.53,0.24,9.7
2394,"good","white","E",8,3.04186932825318,0.45,2.58273900037929,0.28,10.8,0.051,"b1",25,"I1",157,0.9957,3.06,1.94,0.47,0.24,11.4
2395,"good","white","D",6.6,2.61783935619609,0.23,1.74151500864076,0.3,14.9,0.051,"f2",33,"I2",118,0.99835,3.04,1.41,0.54,0.24,9
2396,"good","white","B",7.3,3.07003612238401,0.29,4.45120282200394,0.3,13,0.043,"b1",46,"I2",238,0.9986,3.06,2.72,0.41,0.24,8.7
2397,"good","white","C",7.7,3.31451205333259,0.16,2.39012656737079,0.36,5.9,0.054,"g3",25,"S1",148,0.99578,3.25,2.49,0.54,0.24,10.2
2398,"good","red","B",8.5,2.8012765420126,0.37,2.37458195245157,0.32,1.8,0.066,"i1",26,"I2",51,0.99456,3.38,1.58,0.72,0.24,11.8
2399,"medium","white","D",6.6,2.16896109502721,0.24,3.51214205731004,0.38,8,0.042,"c3",56,"I1",187,0.99577,3.21,2.22,0.46,0.24,9.2
2400,"good","white","D",7.1,3.793194806601,0.42,4.31847287302948,0.2,2.8,0.038,"h3",28,"I2",109,0.98968,3.23,2.48,0.47,0.24,13.4
2401,"medium","white","B",7.4,3.56067286168712,0.23,2.46902647245688,0.38,8.6,0.052,"e2",41,"I1",150,0.99534,3.06,3.62,0.46,0.24,10.3
2402,"medium","white","B",7.4,3.59190881838327,0.24,2.87862668744925,0.29,10.1,0.05,"i1",21,"I1",105,0.9962,3.13,3.38,0.35,0.24,9.5
2403,"medium","white","B",5.8,2.70744355632391,0.26,1.85037699313218,0.24,9.2,0.044,"c1",55,"I2",152,0.9961,3.31,1.92,0.38,0.24,9.4
2404,"good","white","B",7.1,1.99298418786997,0.3,3.12547814996421,0.36,6.8,0.055,"c1",44.5,"S1",234,0.9972,3.49,2.31,0.64,0.24,10.2
2405,"good","white","B",8.8,2.38048522755508,0.28,2.32535919694452,0.45,6,0.022,"g1",14,"S3",49,0.9934,3.01,2.52,0.33,0.24,11.1
2406,"good","white","C",7.4,3.68818930830462,0.19,1.93714644518189,0.49,9.3,0.03,"h3",26,"S1",132,0.994,2.99,1.53,0.32,0.24,11
2407,"good","white","D",6.9,2.766427158815,0.48,3.50600544383632,0.36,3.5,0.03,"i1",31,"I2",135,0.9904,3.14,2.26,0.38,0.24,12.2
2408,"medium","red","D",9.6,2.80043869752834,0.68,2.97138863912888,0.24,2.2,0.087,"f2",5,"I1",28,0.9988,3.14,1.55,0.6,0.24,10.2
2409,"medium","red","B",10.4,2.9851870544285,0.64,5.22893855222672,0.24,2.8,0.105,"g2",29,"P1",53,0.9998,3.24,2.14,0.67,0.24,9.9
2410,"good","red","C",11.6,3.07893642121917,0.23,3.28569545322325,0.57,1.8,0.074,"d1",3,"P2",8,0.9981,3.14,2.66,0.7,0.24,9.9
2411,"good","white","E",6.9,2.92678609178752,0.28,1.50472740003695,0.27,2.1,0.036,"h3",42,"I1",121,0.9926,3.42,3.34,0.49,0.24,10.8
2412,"medium","white","E",6.8,2.80763122098549,0.22,3.90423808671781,0.26,1.2,0.041,"d2",29,"I2",182,0.99104,3.04,2.33,0.35,0.24,11.2
2413,"good","white","E",7.9,3.06986697008749,0.27,3.33718087885202,0.27,1.7,0.034,"b1",25,"I1",122,0.99088,2.97,2.56,0.51,0.24,11.9
2414,"medium","white","E",6.2,2.88623385527631,0.36,2.83286570735189,0.26,13.2,0.051,"d2",54,"E",201,0.9976,3.25,1.84,0.46,0.24,9
2415,"medium","red","C",5.6,3.44434172234261,0.54,3.10415846554294,0.04,1.7,0.049,"c2",5,"S3",13,0.9942,3.72,2.02,0.58,0.24,11.4
2416,"medium","red","E",7.9,2.69822388900096,0.69,2.62621628265532,0.21,2.1,0.08,"d1",33,"S1",141,0.9962,3.25,1.66,0.51,0.24,9.9
2417,"good","red","E",7.9,2.76273396209192,0.31,2.53124337215503,0.32,1.9,0.066,"b2",14,"I1",36,0.99364,3.41,1.97,0.56,0.24,12.6
2418,"good","red","B",7.9,3.65966452195274,0.765,3.107491734287,0,2,0.084,"i3",9,"I1",22,0.99619,3.33,2.12,0.68,0.24,10.9
2419,"medium","white","E",6.4,3.69689906892848,0.21,3.35454441868301,0.34,16.05,0.04,"g1",56,"P1",142,0.99678,3.11,1.78,0.38,0.24,10.6
2420,"good","white","B",6.7,2.05804356107116,0.17,2.40434998376062,0.42,10.4,0.038,"f1",85,"I2",182,0.99628,3.04,1.89,0.44,0,8.9
2421,"medium","white","D",6.3,3.60046141689214,0.34,2.5330589456427,0.36,4.9,0.035,"g1",31,"I2",185,0.9946,3.15,2.73,0.49,0.24,9.7
2422,"medium","white","A",6.5,2.19762793794486,0.23,3.43201713272533,0.36,16.3,0.038,"b1",43,"I1",133,0.99924,3.26,1.91,0.41,0.24,8.8
2423,"good","white","C",6.1,3.18146919839427,0.34,1.69595147855113,0.27,2.6,0.024,"i3",20,"I1",105,0.9906,3.4,2.24,0.67,0.24,12.2
2424,"good","white","A",5.9,3.91201193101453,0.44,3.51174258292153,0.36,2.5,0.03,"g1",12,"I2",73,0.99201,3.22,2.35,0.48,0.24,10.8
2425,"good","red","D",6,3.34470026865247,0.49,2.27198284448018,0,2.3,0.068,"i1",15,"S1",33,0.99292,3.58,1.39,0.59,0.24,12.5
2426,"good","white","C",6.6,3.31150590016668,0.28,3.06345902402629,0.3,12.9,0.033,"c2",31,"I1",177,0.99479,3.12,2.34,0.39,0.24,11.2
2427,"medium","white","C",6.6,2.66265696594649,0.32,1.75872659802999,0.47,15.6,0.063,"e2",27,"I1",173,0.99872,3.18,1.72,0.56,0.24,9
2428,"good","white","D",6,2.99904411831908,0.13,3.94472085811539,0.36,1.6,0.052,"f2",23,"I2",72,0.98974,3.1,2.41,0.5,0.24,11.5
2429,"good","white","A",7,2.51665286981333,0.15,2.44180910658818,0.28,14.7,0.051,"b3",29,"S3",149,0.99792,2.96,1.88,0.39,0.24,9
2430,"good","red","D",10.9,2.44452059794827,0.39,2.5806148069672,0.47,1.8,0.118,"g1",6,"I1",14,0.9982,3.3,2.31,0.75,0.24,9.8
2431,"medium","white","D",7.7,3.76220451503074,0.3,2.89938372565851,0.42,14.3,0.045,"h3",45,"I2",213,0.9991,3.18,2.42,0.63,0.24,9.2
2432,"medium","white","B",7.2,3.0386519783414,0.17,3.28881951359239,0.41,1.6,0.052,"f1",24,"P1",126,0.99228,3.19,2.34,0.49,0.24,10.8
2433,"good","white","D",6.8,3.01763218346365,0.21,3.38328435234942,0.42,1.2,0.045,"h2",24,"P1",126,0.99234,3.09,2.3,0.87,0.24,10.9
2434,"medium","red","B",9.3,2.25397637141975,0.61,2.04433685777741,0.26,3.4,0.09,"b3",25,"S1",87,0.99975,3.24,2.53,0.62,0.24,9.7
2435,"good","white","C",7.8,3.75748178528291,0.3,2.52686744146416,0.29,16.85,0.054,"b2",23,"E",135,0.9998,3.16,2.07,0.38,0.24,9
2436,"good","red","B",9.1,2.88740584913386,0.21,2.11219860057607,0.37,1.6,0.067,"f3",6,"I2",10,0.99552,3.23,1.07,0.58,0.24,11.1
2437,"good","white","E",6.4,3.44517378679653,0.12,5.52303901855647,0.3,1.1,0.031,"b3",37,"S1",94,0.98986,3.01,2.34,0.56,0.24,11.7
2438,"good","white","B",8.9,2.55742624894131,0.26,4.82438172870629,0.33,8.1,0.024,"i1",47,"I2",202,0.99558,3.13,2.13,0.46,0.24,10.8
2439,"good","red","D",12.8,2.56318216439903,0.615,4.51517158393451,0.66,5.8,0.083,"h3",7,"I1",42,1.0022,3.07,2.27,0.73,0.24,10
2440,"good","white","E",6.7,2.47227705996288,0.44,2.66496861372349,0.31,1.9,0.03,"e3",41,"I1",104,0.99,3.29,1.8,0.62,0.24,12.6
2441,"medium","white","A",6.4,2.83038461041688,0.3,4.25016676893764,0.33,5.2,0.05,"e3",30,"S2",137,0.99304,3.26,2.93,0.58,0.24,11.1
2442,"excellent","white","B",7.3,2.57610270749229,0.19,2.70625310077984,0.27,13.9,0.057,"f1",45,"I2",155,0.99807,2.94,1.48,0.41,0.24,8.8
2443,"medium","white","E",6.1,2.94653848750805,0.33,2.29594448904777,0.32,7.8,0.052,"i3",52,"I1",183,0.99657,3.39,2.41,0.65,0.24,9.5
2444,"good","white","B",8,3.62856261867461,0.14,4.06633628524947,0.49,1.5,0.035,"i3",42,"I1",120,0.9928,3.26,1.89,0.4,0.24,10.6
2445,"good","white","D",7.1,2.90087115396669,0.22,3.38641678636528,0.74,2.7,0.044,"f2",42,"S1",144,0.991,3.31,1.7,0.41,0.24,12.2
2446,"medium","white","A",6.9,3.24977395774525,0.34,4.15056875126671,0.36,1.4,0.032,"g3",13,"I1",145,0.99214,3.07,1.93,0.52,0.24,9.8
2447,"good","red","E",7.5,2.56111506150813,0.31,3.14768414107585,0.41,2.4,0.065,"g1",34,"I1",60,0.99492,3.34,2.02,0.85,0.24,11.4
2448,"medium","red","C",7.6,3.45244557171967,0.55,2.57814056590857,0.21,2.2,0.071,"e3",7,"I2",28,0.9964,3.28,2.15,0.55,0.24,9.7
2449,"medium","white","D",6.5,2.95614769149275,0.51,2.45065513654525,0.25,1.7,0.048,"f2",39,"I2",177,0.99212,3.28,1.59,0.57,0.24,10.5666666666667
2450,"good","red","A",9.7,3.53378256821125,0.31,4.3175412181334,0.47,1.6,0.062,"g1",13,"I1",33,0.9983,3.27,2.31,0.66,0.24,10
2451,"medium","red","C",7.9,3.32639824124326,0.43,2.49706926410555,0.21,1.6,0.106,"f3",10,"S3",37,0.9966,3.17,1.84,0.91,0.24,9.5
2452,"medium","white","E",6,2.67927565702862,0.33,1.9109106939413,0.26,5.1,0.051,"b2",16,"I1",119,0.99416,3.15,1.47,0.41,0.24,9.2
2453,"medium","white","B",7,3.27227803570338,0.21,2.92577923001207,0.28,7.5,0.07,"d3",45,"I2",185,0.9966,3.34,2.66,0.55,0.24,9.4
2454,"good","white","C",7.3,2.67874465720303,0.2,4.5775855277208,0.29,19.9,0.039,"f1",69,"I1",237,1.00037,3.1,1.75,0.48,0.24,9.2
2455,"medium","white","D",5.9,3.46471547609443,0.22,1.7281319040204,0.45,22.6,0.12,"b3",55,"I1",122,0.99636,3.1,1.56,0.35,0.24,12.8
2456,"good","red","C",9.4,3.07996576539513,0.41,2.28017798538042,0.48,4.6,0.072,"c3",10,"I1",20,0.9973,3.34,2.55,0.79,0.24,12.2
2457,"good","white","E",7.3,2.57506090055581,0.26,2.20854487409,0.33,11.8,0.057,"f3",48,"I1",127,0.99693,3.1,2.18,0.55,0.24,10
2458,"medium","white","E",6.2,3.59687716606523,0.25,2.87076691901124,0.38,7.9,0.045,"e2",54,"I1",208,0.99572,3.17,1.97,0.46,0.24,9.1
2459,"good","white","C",5.8,2.79031371811685,0.2,2.55110099243751,0.16,1.4,0.042,"i2",44,"I1",99,0.98912,3.23,3.2,0.37,0.24,12.2
2460,"medium","red","D",6.6,2.89799398494919,0.735,2.53405502155127,0.02,7.9,0.122,"i1",68,"S1",124,0.9994,3.47,2.34,0.53,0.24,9.9
2461,"medium","red","E",8.5,2.4703685698497,0.49,2.00421428594329,0.11,2.3,0.084,"b1",9,"I1",67,0.9968,3.17,1.73,0.53,0.24,9.4
2462,"medium","white","A",6.6,3.85437491994565,0.32,3.39639922566784,0.36,8,0.047,"h2",57,"S1",168,0.9949,3.15,1.87,0.46,0.24,9.6
